Short name	ligands-L	ligands-X	ligands-Z	bond number	electron count	formal charge	ligands-oxo	ligands-carbonyl	ligands-alkoxide	ligands-THF	ligands-siloxide	ligands-Cl	ligands-alkyl	ligands-imido	ligands-bpy	ligands-amide	ligands-acac	ligand-ethylene	bulk-O	bulk-Cl	bulk-Me	symmetry	formal CN	ligands-carbonyl-bin	efermi_e	efermi_slope	pe area	pe center	1st_peak_e	1st_peak_i	pca1	pca2	pca3	scaled_pca1	scaled_pca2	scaled_pca3	value_5995	value_6003	value_6037	value_6043	BL1stCharge	BLvaluesCharge	tsne_pca1_xanes	tsne_pca2_xanes	tsne_pca_scale1_xanes	tsne_pca_scale2_xanes	tsne_values1_features	tsne_values2_features	pls1_xanes_formal CN	pls2_xanes_formal CN	pls1_features_formal charge	pls2_features_formal charge	pls1_features_formal CN	pls2_features_formal CN
6.5d.1	2.0	0.0	3.0	0.0	7.0	6.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	6004.2260631882455	0.1916956286521394	2.195738752670762	5993.277836308436	6012.2368442340585	0.9244336822824214	-20.1863274750671	-3.0824393362826714	-0.5012729804165685	21.53411547616689	-10.661568464149319	-8.828265028424156	0.2167094601737991	0.37921284267460936	1.1536901567044209	1.116726614425959	5.341307540121431	5.6203683779104345	8.202713502990342	-4.405281732344	9.840802570161195	0.5401250790051936	8.551459166979162	2.025969192638631	15.314033853740678	-4.2203266882073915	-4.793861656667557	0.3594864174975164	-2.963304714786573	2.1890450608257934
V.5y.1	1.0	2.0	1.0	3.0	5.0	5.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	6003.484733479286	0.24989856892069207	1.2754525151444454	5992.457730675432	6011.7923738949885	1.0028142359524754	-20.24951720833584	-2.2294932735945903	0.8981106563554118	8.793258197693046	9.546863411431413	-3.687530853333028	0.09130672339782862	0.4199464537199795	1.024840589035693	0.9513940593210369	4.657346547044698	4.629302758681162	6.847872665630933	-3.3509978164440968	4.638562246657056	0.3790483890020863	5.505367501482944	1.037476061446023	-1.1722798899459084	-9.423664046921168	-2.4170510528549083	0.41171711441330777	0.12836187086354992	2.5478217875760496
III.3p.1	0.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	5994.669916643899	0.16046620015365431	1.107296027401032	5989.111084240989	6007.574244047181	0.9543141529296774	-20.785423405124817	0.4584327061103568	-1.858950018761186	-2.447917720640576	-6.986802020737979	13.823629766182625	0.492384958610077	0.9071019497028786	0.9457459225951178	0.9634503238289661	2.442580979336786	2.9405910261228687	-8.324611874265903	1.621195265672457	-7.979225488154608	-4.915207772498736	-6.5971594707582115	2.9001402603358346	8.67872178777732	16.121973888951796	1.725910525370501	-0.9381075244998919	-1.8492372447916825	-3.0715711246574022
mpc239																								0.0	5995.410907076085	0.2273426884149652	0.33064751645169915	5989.999236963696	6007.922013876111	1.0253205858735213	-20.64904157375465	1.8361380046500373	-1.17129913410295	-12.823872786118468	-10.270571291336148	-3.113342427478044	0.6176582965405235	1.0850919911022467	0.8951529721481268	0.9233738247104603	2.2635502926012867	2.081368928546233	-8.021161064944364	-1.1379821429668648	-7.043269928085106	1.0045699772182692	-8.242019973956216	3.8835287250106765	-3.1924125443194535	6.886124745123965	2.5881005142226123	0.07272286085489732	-0.12351607464075268	-2.4597447847360514
AN24																								0.0	5996.472752655833	0.22802213768183455	0.3615183635709685	5990.130432006352	6008.4704850236985	1.0088353194799216	-20.42868898785047	1.4280146150860107	-0.9379037240542061	-3.274499311153016	-13.640611622338682	0.5305969002768671	0.41031384693997885	1.0092041782482573	0.9483659983188957	0.9790068627115481	2.6745323879479104	2.565706113070985	-6.653588962653037	-0.09285084062264683	-8.070756672446587	-0.08562069812293714	-5.9098509207348275	3.090105255651736	2.637659658528733	3.4450484488302946	1.4322797041986415	-0.14781122297919794	-0.5294676068697368	-1.3537204948156076
K2CrO4					0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	6005.507511150791	0.17082740906391747	2.543164529412452	5993.192214266338	6012.929993888979	0.8777856268690187	-19.67452274555953	-3.7574044567675706	-1.1490480812247081	28.03864612953147	-13.786404493542529	-7.5250610298524965	0.21084070555649823	0.25790146031328287	1.1856460010410013	1.1387091816961132	6.000015810577865	6.207767137167046	9.134999060173438	-5.007821563106973	9.720442189489255	1.4318198711762193	8.842963983177096	2.500767360089552	19.760426022062777	-6.325661969216014	-6.230659980719252	0.235434591537853	-4.070706706852388	3.011851073534039
V.4t.1	0.0	2.0	1.0	4.0	3.0	5.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	6003.766781048772	0.1929347369867478	1.892639109212422	5992.367657885306	6012.017071490944	0.9401960756478807	-20.550633345744288	-3.0655646483941803	0.11925202820321346	28.098544683389708	4.4054038711959995	-2.3523266156086953	0.1050660896308885	0.42856818989559037	1.179294810684934	1.0818403715203682	5.12720930564561	5.094618009558221	7.801885098442408	-3.5830348793644005	8.414210772853886	0.6357872865761797	7.762096933050368	2.205778167761537	12.558938331554684	-7.049674498054713	-4.012477812805929	-0.5279206331083934	-2.2220909975635594	1.8622909003113224
II.4p.3	2.0	1.0	0.0	3.0	4.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	5994.959501845432	0.25233410183313265	0.24093737234181484	5989.480541844801	6007.570395282842	1.0555102843428523	-20.963369812464407	2.1965438931593986	-1.4323686506862474	-11.685996168266266	-13.116410610543152	6.823121763122286	0.6737951972584217	1.1652913794456519	0.9112017919539023	0.9583075797173959	1.8941819762971686	1.9459319435657083	-8.60844647876979	-1.6485491226524254	-10.196428656851445	-3.9109713832629063	-9.073249839463672	4.389173908439934	-0.9534530430998693	9.116244396604834	3.3435394642199006	-0.33893054945963197	-0.33472807285221845	-3.3393651973917917
III.4t.1	1.0	2.0	0.0	5.0	3.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	5999.561862925275	0.2793073637104422	0.8794208393746539	5990.511651694435	6009.71951199501	1.090605631541111	-21.2925747379577	0.2791068457396626	0.9395895063631621	-1.0583334290720543	15.24692814212261	3.2459584248373616	0.12034533292358789	0.8798157548204442	0.9685757382893758	0.9522771114004249	2.966549246154548	2.798794102022854	2.893117987715623	1.6894999229003318	1.0283842023512655	-0.9303629212876524	0.5819846455082297	0.39019445616396103	-5.635859899672244	1.4892329633242967	1.305112414416041	-0.0943759274039622	1.4238946224555127	-0.5767946056669339
II.4p.7	2.0	1.0	0.0	3.0	4.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	5995.6232364118605	0.20426192819049094	0.052820043302577155	5988.612573638449	6008.125234972694	1.0405461719150593	-20.93471469391094	1.6960010789435345	-0.9770527333439136	-10.606670625832635	-6.418249170424516	-2.3862138979067025	0.4883487487555826	1.2068990143874452	0.8849496764434608	0.925745407674887	2.3006936915249634	1.5484140092568137	-8.153699090693717	-0.54717186586495	-6.600454249804526	1.8293132261503084	-7.358729016747337	4.9413556075214835	-3.5007135392930766	6.052397201151707	3.1025820172540417	-0.050639745607562035	0.19436517281541033	-2.901230991864894
